namespace,foundation,component,variant (opt),size_variant (opt),context (opt),polarity (opt),persistence (opt),part (opt),part_variant (opt),subpart (opt),property,state (opt),interaction (opt),All Modes,Light Mode,Dark Mode
affirm,color,checkbox,,,,,,indicator,,,bg,selected,resting,,indigo.970,indigo.100
affirm,color,checkbox,,,,,,indicator,,,bg,selected,hover,,indigo.800,indigo.200
affirm,color,checkbox,,,,,,indicator,,,bg,selected,pressed,,indigo.700,indigo.300
affirm,color,checkbox,,,,,,indicator,,,bg,selected,focus_visible,,indigo.800,indigo.200
affirm,color,checkbox,,,,,,indicator,,,bg,selected,disabled,,gray.200,gray.750
affirm,color,checkbox,,,,,,indicator,,,bg,unselected,resting,,gray.white,gray.850
affirm,color,checkbox,,,,,,indicator,,,bg,unselected,hover,,indigo.050,gray.800
affirm,color,checkbox,,,,,,indicator,,,bg,unselected,pressed,,indigo.100,gray.750
affirm,color,checkbox,,,,,,indicator,,,bg,unselected,focus_visible,,indigo.050,gray.800
affirm,color,checkbox,,,,,,indicator,,,bg,unselected,disabled,,gray.200,gray.750
affirm,color,checkbox,,,,,,indicator,,,bg,error_selected,resting,,red.850,red.200
affirm,color,checkbox,,,,,,indicator,,,bg,error_selected,hover,,red.700,red.300
affirm,color,checkbox,,,,,,indicator,,,bg,error_selected,pressed,,red.600,red.400
affirm,color,checkbox,,,,,,indicator,,,bg,error_selected,focus_visible,,red.700,red.300
affirm,color,checkbox,,,,,,indicator,,,border,selected,resting,,opacity.000,opacity.000
affirm,color,checkbox,,,,,,indicator,,,border,selected,hover,,opacity.000,opacity.000
affirm,color,checkbox,,,,,,indicator,,,border,selected,pressed,,opacity.000,opacity.000
affirm,color,checkbox,,,,,,indicator,,,border,selected,focus_visible,,opacity.000,opacity.000
affirm,color,checkbox,,,,,,indicator,,,border,selected,disabled,,opacity.000,opacity.000
affirm,color,checkbox,,,,,,indicator,,,border,unselected,resting,,gray.500,gray.500
affirm,color,checkbox,,,,,,indicator,,,border,unselected,hover,,gray.500,gray.500
affirm,color,checkbox,,,,,,indicator,,,border,unselected,pressed,,gray.500,gray.500
affirm,color,checkbox,,,,,,indicator,,,border,unselected,focus_visible,,gray.500,gray.500
affirm,color,checkbox,,,,,,indicator,,,border,unselected,disabled,,gray.300,gray.700
affirm,color,checkbox,,,,,,indicator,,,border,error_selected,resting,,opacity.000,opacity.000
affirm,color,checkbox,,,,,,indicator,,,border,error_selected,hover,,opacity.000,opacity.000
affirm,color,checkbox,,,,,,indicator,,,border,error_selected,pressed,,opacity.000,opacity.000
affirm,color,checkbox,,,,,,indicator,,,border,error_selected,focus_visible,,opacity.000,opacity.000
affirm,color,checkbox,,,,,,indicator,,,border,error_unselected,resting,,red.850,red.300
affirm,color,checkbox,,,,,,indicator,,,border,error_unselected,hover,,red.850,red.300
affirm,color,checkbox,,,,,,indicator,,,border,error_unselected,pressed,,red.850,red.300
affirm,color,checkbox,,,,,,indicator,,,border,error_unselected,focus_visible,,red.850,red.300
affirm,color,checkbox,,,,,,indicator,,,icon,selected,resting,,gray.030,gray.950
affirm,color,checkbox,,,,,,indicator,,,icon,selected,hover,,gray.030,gray.950
affirm,color,checkbox,,,,,,indicator,,,icon,selected,pressed,,gray.030,gray.950
affirm,color,checkbox,,,,,,indicator,,,icon,selected,focus_visible,,gray.030,gray.950
affirm,color,checkbox,,,,,,indicator,,,icon,selected,disabled,,gray.600,gray.400
affirm,color,checkbox,,,,,,indicator,,,icon,unselected,resting,,opacity.000,opacity.000
affirm,color,checkbox,,,,,,indicator,,,icon,unselected,hover,,opacity.000,opacity.000
affirm,color,checkbox,,,,,,indicator,,,icon,unselected,pressed,,opacity.000,opacity.000
affirm,color,checkbox,,,,,,indicator,,,icon,unselected,focus_visible,,opacity.000,opacity.000
affirm,color,checkbox,,,,,,indicator,,,icon,unselected,disabled,,opacity.000,opacity.000
affirm,color,checkbox,,,,,,indicator,,,icon,error_selected,resting,,gray.030,gray.950
affirm,color,checkbox,,,,,,indicator,,,icon,error_selected,hover,,gray.030,gray.950
affirm,color,checkbox,,,,,,indicator,,,icon,error_selected,pressed,,gray.030,gray.950
affirm,color,checkbox,,,,,,indicator,,,icon,error_selected,focus_visible,,gray.030,gray.950
affirm,color,checkbox,,,,,,indicator,,,icon,error_unselected,resting,,opacity.000,opacity.000
affirm,color,checkbox,,,,,,indicator,,,icon,error_unselected,hover,,opacity.000,opacity.000
affirm,color,checkbox,,,,,,indicator,,,icon,error_unselected,pressed,,opacity.000,opacity.000
affirm,color,checkbox,,,,,,indicator,,,icon,error_unselected,focus_visible,,opacity.000,opacity.000
affirm,color,checkbox,,,,,,container,,,outline,,focus_visible,,indigo.650,indigo.650
affirm,color,checkbox,,,,,,indicator,,,bg,error_unselected,resting,,gray.white,gray.850
affirm,color,checkbox,,,,,,indicator,,,bg,error_unselected,hover,,red.050,gray.800
affirm,color,checkbox,,,,,,indicator,,,bg,error_unselected,pressed,,red.100,gray.700
affirm,color,checkbox,,,,,,indicator,,,bg,error_unselected,focus_visible,,red.050,gray.800
affirm,color,checkbox,,,,,,label,,,text,,disabled,,gray.400,gray.600
affirm,color,checkbox,,,,,,label,,,text,selected,resting,,gray.950,gray.030
affirm,color,checkbox,,,,,,label,,,text,selected,hover,,gray.950,gray.030
affirm,color,checkbox,,,,,,label,,,text,selected,pressed,,gray.950,gray.030
affirm,color,checkbox,,,,,,label,,,text,selected,focus_visible,,gray.950,gray.030
affirm,color,checkbox,,,,,,label,,,text,unselected,resting,,gray.950,gray.030
affirm,color,checkbox,,,,,,label,,,text,unselected,hover,,gray.950,gray.030
affirm,color,checkbox,,,,,,label,,,text,unselected,pressed,,gray.950,gray.030
affirm,color,checkbox,,,,,,label,,,text,unselected,focus_visible,,gray.950,gray.030
affirm,color,checkbox,,,,,,label,,,text,error_selected,resting,,gray.950,gray.030
affirm,color,checkbox,,,,,,label,,,text,error_selected,hover,,gray.950,gray.030
affirm,color,checkbox,,,,,,label,,,text,error_selected,pressed,,gray.950,gray.030
affirm,color,checkbox,,,,,,label,,,text,error_selected,focus_visible,,gray.950,gray.030
affirm,color,checkbox,,,,,,label,,,text,error_unselected,resting,,gray.950,gray.030
affirm,color,checkbox,,,,,,label,,,text,error_unselected,hover,,gray.950,gray.030
affirm,color,checkbox,,,,,,label,,,text,error_unselected,pressed,,gray.950,gray.030
affirm,color,checkbox,,,,,,label,,,text,error_unselected,focus_visible,,gray.950,gray.030
affirm,radius,checkbox,,,,,,indicator,,container,all,,,size.050,,
affirm,radius,checkbox,,,,,,container,,,all,,,size.100,,
affirm,size,checkbox,,,,,,indicator,,,all,,,size.250,,
affirm,size,checkbox,,,,,,indicator,,icon,all,,,size.250,,
affirm,size,checkbox,,,,,,indicator,,border,width,selected,resting,size.000,,
affirm,size,checkbox,,,,,,indicator,,border,width,selected,hover,size.000,,
affirm,size,checkbox,,,,,,indicator,,border,width,selected,pressed,size.000,,
affirm,size,checkbox,,,,,,indicator,,border,width,selected,focus_visible,size.000,,
affirm,size,checkbox,,,,,,indicator,,border,width,selected,disabled,size.000,,
affirm,size,checkbox,,,,,,indicator,,border,width,unselected,resting,size.025,,
affirm,size,checkbox,,,,,,indicator,,border,width,unselected,hover,size.025,,
affirm,size,checkbox,,,,,,indicator,,border,width,unselected,pressed,size.025,,
affirm,size,checkbox,,,,,,indicator,,border,width,unselected,focus_visible,size.025,,
affirm,size,checkbox,,,,,,indicator,,border,width,unselected,disabled,size.025,,
affirm,size,checkbox,,,,,,outline,,,width,,resting,size.000,,
affirm,size,checkbox,,,,,,outline,,,width,,hover,size.000,,
affirm,size,checkbox,,,,,,outline,,,width,,pressed,size.000,,
affirm,size,checkbox,,,,,,outline,,,width,,focus_visible,size.025,,
affirm,size,checkbox,,,,,,container,,outline,offset,,resting,size.000,,
affirm,size,checkbox,,,,,,container,,outline,offset,,hover,size.000,,
affirm,size,checkbox,,,,,,container,,outline,offset,,pressed,size.000,,
affirm,size,checkbox,,,,,,container,,outline,offset,,focus_visible,size.025,,
affirm,size,checkbox,,,,,,container,,,min_height,,,size.600,,
affirm,spacing,checkbox,,,,,,,,,gap_x,,,size.100,,