name,value,id
base/color/blue/050,#E9F8FF,VariableID:4360:1126052
base/color/blue/100,#A9DFF8,VariableID:4360:1126053
base/color/blue/200,#7CC3E1,VariableID:4360:1126054
base/color/blue/300,#5EA4C2,VariableID:4360:1126055
base/color/blue/400,#4087A4,VariableID:4360:1126056
base/color/blue/500,#196B88,VariableID:4360:1126057
base/color/blue/600,#005671,VariableID:4360:1126058
base/color/blue/700,#004256,VariableID:4360:1126059
base/color/blue/800,#002E3E,VariableID:4360:1126060
base/color/blue/900,#001C27,VariableID:4360:1126061
base/color/brand/dandelion,#FFCA61,VariableID:4359:1124776
base/color/brand/duskfall,#51339D,VariableID:4359:1124774
base/color/brand/indigo,#4A4AF4,VariableID:4359:1124770
base/color/brand/indigo/dark,#0A0340,VariableID:4359:1124772
base/color/brand/indigo/light,#9DADF9,VariableID:4359:1124771
base/color/brand/neutral/black,#13131F,VariableID:4359:1124778
base/color/brand/neutral/charcoal_gray,#3F424E,VariableID:4359:1124783
base/color/brand/neutral/cool_gray,#8B8F9C,VariableID:4359:1124781
base/color/brand/neutral/dark_gray,#2D3039,VariableID:4359:1124784
base/color/brand/neutral/slate_gray,#5F6272,VariableID:4359:1124782
base/color/brand/neutral/soft_gray,#BBBDC6,VariableID:4359:1124780
base/color/brand/neutral/white,#FFFFFF,VariableID:4359:1124777
base/color/brand/neutral/white_gray,#F8F8FA,VariableID:4359:1124779
base/color/brand/orchid,#92199A,VariableID:4359:1124775
base/color/brand/spruce,#196B88,VariableID:4359:1124773
base/color/dandelion/050,#FFF4E0,VariableID:4360:1125960
base/color/dandelion/100,#FFECC9,VariableID:4360:1125961
base/color/dandelion/200,#FFE4B2,VariableID:4360:1125962
base/color/dandelion/300,#FFDB9A,VariableID:4360:1125963
base/color/dandelion/400,#FFD37F,VariableID:4360:1125964
base/color/dandelion/500,#FFCA61,VariableID:4360:1125965
base/color/dandelion/600,#D89E00,VariableID:4360:1125967
base/color/dandelion/700,#956C00,VariableID:4360:1125968
base/color/dandelion/800,#553C00,VariableID:4360:1125969
base/color/dandelion/900,#221600,VariableID:4360:1125970
base/color/duskfall/050,#F5F4FF,VariableID:4359:1125505
base/color/duskfall/100,#D6D0FF,VariableID:4359:1125506
base/color/duskfall/200,#B9ACFF,VariableID:4359:1125507
base/color/duskfall/300,#9E8AF2,VariableID:4359:1125508
base/color/duskfall/400,#836DD5,VariableID:4359:1125509
base/color/duskfall/500,#694FBB,VariableID:4359:1125510
base/color/duskfall/600,#51339D,VariableID:4359:1125511
base/color/duskfall/700,#41118F,VariableID:4359:1125512
base/color/duskfall/800,#2E086A,VariableID:4359:1125513
base/color/duskfall/900,#1D0048,VariableID:4359:1125514
base/color/gray/020,#F8F8FA,VariableID:4360:1126009
base/color/gray/050,#EDEEF2,VariableID:4360:1125972
base/color/gray/050 • a00,#EDEEF200,VariableID:4725:5
base/color/gray/100,#DDDEE2,VariableID:4360:1125973
base/color/gray/150,#CCCDD4,VariableID:4360:1125974
base/color/gray/200,#BBBDC6,VariableID:4360:1125975
base/color/gray/250,#ABADB8,VariableID:4360:1125976
base/color/gray/300,#9B9EAA,VariableID:4360:1125977
base/color/gray/350,#8B8F9C,VariableID:4360:1125978
base/color/gray/400,#7C808E,VariableID:4360:1125979
base/color/gray/450,#6D7180,VariableID:4360:1125980
base/color/gray/500,#5F6272,VariableID:4360:1126010
base/color/gray/550,#535766,VariableID:4360:1126011
base/color/gray/600,#494C5A,VariableID:4360:1126012
base/color/gray/650,#3F424E,VariableID:4360:1126013
base/color/gray/700,#353743,VariableID:4360:1126014
base/color/gray/750,#2D3039,VariableID:4360:1126015
base/color/gray/800,#262830,VariableID:4360:1126016
base/color/gray/850,#1F2128,VariableID:4360:1126017
base/color/gray/900,#191A21,VariableID:4360:1126018
base/color/gray/950,#121319,VariableID:4360:1126019
base/color/gray/950 • a25,#12131940,VariableID:4712:7648
base/color/gray/980,#0C0D12,VariableID:4360:1126020
base/color/gray/black,#000000,VariableID:4360:1126021
base/color/gray/white,#FFFFFF,VariableID:4360:1125971
base/color/gray/white • a10,#FFFFFF1A,VariableID:4673:7466
base/color/green/050,#DFFFE4,VariableID:4360:1126042
base/color/green/100,#A6EAB2,VariableID:4360:1126043
base/color/green/200,#7CCE8C,VariableID:4360:1126044
base/color/green/300,#59B16D,VariableID:4360:1126045
base/color/green/400,#35944F,VariableID:4360:1126046
base/color/green/500,#007832,VariableID:4360:1126047
base/color/green/600,#006027,VariableID:4360:1126048
base/color/green/700,#00491C,VariableID:4360:1126049
base/color/green/800,#003412,VariableID:4360:1126050
base/color/green/900,#001F08,VariableID:4360:1126051
base/color/indigo/050,#F2F5FF,VariableID:4359:1124785
base/color/indigo/050 • a00,#F2F5FF00,VariableID:4359:1125489
base/color/indigo/075,#DFE5FF,VariableID:4712:7647
base/color/indigo/100,#CCD6FF,VariableID:4359:1124786
base/color/indigo/200,#A7B7FF,VariableID:4359:1124787
base/color/indigo/250,#9DADF9,VariableID:4359:1124788
base/color/indigo/300,#8396FF,VariableID:4359:1124789
base/color/indigo/400,#6372FF,VariableID:4359:1124790
base/color/indigo/500,#4A4AF4,VariableID:4359:1124791
base/color/indigo/600,#3C38D6,VariableID:4359:1124792
base/color/indigo/700,#2B21AB,VariableID:4359:1124793
base/color/indigo/800,#1B0D7C,VariableID:4359:1124794
base/color/indigo/900,#0E0053,VariableID:4359:1124795
base/color/indigo/950,#0A0340,VariableID:4359:1124796
base/color/indigo/950 • a00,#0A034000,VariableID:4359:1125490
base/color/opacity/00,0,VariableID:4360:1126063
base/color/opacity/10,10,VariableID:4360:1126064
base/color/opacity/100,100,VariableID:4360:1126073
base/color/opacity/20,20,VariableID:4360:1126065
base/color/opacity/30,30,VariableID:4360:1126066
base/color/opacity/40,40,VariableID:4360:1126067
base/color/opacity/50,50,VariableID:4360:1126068
base/color/opacity/60,60,VariableID:4360:1126069
base/color/opacity/70,70,VariableID:4360:1126070
base/color/opacity/80,80,VariableID:4360:1126071
base/color/opacity/90,90,VariableID:4360:1126072
base/color/opacity/transparent,#00000000,VariableID:4360:1126062
base/color/orchid/050,#FFEFFF,VariableID:4360:1125949
base/color/orchid/100,#FBC1FD,VariableID:4360:1125950
base/color/orchid/200,#EC96F0,VariableID:4360:1125951
base/color/orchid/300,#D671DC,VariableID:4360:1125952
base/color/orchid/400,#B856BE,VariableID:4360:1125953
base/color/orchid/500,#9F31A6,VariableID:4360:1125954
base/color/orchid/550,#92199A,VariableID:4360:1125959
base/color/orchid/600,#840C8C,VariableID:4360:1125955
base/color/orchid/700,#65066B,VariableID:4360:1125956
base/color/orchid/800,#48034C,VariableID:4360:1125957
base/color/orchid/900,#2D0030,VariableID:4360:1125958
base/color/red/050,#FFF1F2,VariableID:4360:1126022
base/color/red/100,#FFC5C8,VariableID:4360:1126023
base/color/red/200,#FF959D,VariableID:4360:1126024
base/color/red/300,#EF6879,VariableID:4360:1126025
base/color/red/400,#DB485F,VariableID:4360:1126026
base/color/red/500,#B4193F,VariableID:4360:1126027
base/color/red/600,#96002F,VariableID:4360:1126028
base/color/red/700,#740022,VariableID:4360:1126029
base/color/red/800,#540016,VariableID:4360:1126030
base/color/red/900,#35000B,VariableID:4360:1126031
base/color/spruce/050,#E9F8FF,VariableID:4359:1125491
base/color/spruce/100,#A9DFF8,VariableID:4359:1125493
base/color/spruce/200,#7CC3E1,VariableID:4359:1125494
base/color/spruce/300,#5EA4C2,VariableID:4359:1125496
base/color/spruce/400,#4087A4,VariableID:4359:1125497
base/color/spruce/500,#196B88,VariableID:4359:1125498
base/color/spruce/600,#005671,VariableID:4359:1125499
base/color/spruce/700,#004256,VariableID:4359:1125500
base/color/spruce/800,#002E3E,VariableID:4359:1125501
base/color/spruce/900,#001C27,VariableID:4359:1125502
base/color/yellow/050,#FFF3E6,VariableID:4360:1126032
base/color/yellow/100,#FDCC98,VariableID:4360:1126033
base/color/yellow/200,#EBA95A,VariableID:4360:1126034
base/color/yellow/300,#CF8A30,VariableID:4360:1126035
base/color/yellow/400,#B6730F,VariableID:4360:1126036
base/color/yellow/500,#8B5500,VariableID:4360:1126037
base/color/yellow/600,#704400,VariableID:4360:1126038
base/color/yellow/700,#563300,VariableID:4360:1126039
base/color/yellow/800,#3D2300,VariableID:4360:1126040
base/color/yellow/900,#261400,VariableID:4360:1126041
base/g-color/blue/050,#E6F6FF,VariableID:10:1989
base/g-color/blue/100,#CCEAFC,VariableID:10:1990
base/g-color/blue/150,#B7E3FF,VariableID:10:1991
base/g-color/blue/200,#9CD8FC,VariableID:10:1992
base/g-color/blue/300,#73C0F0,VariableID:10:1993
base/g-color/blue/400,#3AACF2,VariableID:10:1994
base/g-color/blue/500,#0D93E8,VariableID:10:1995
base/g-color/blue/550,#0684D4,VariableID:10:1996
base/g-color/blue/600,#0076BF,VariableID:10:1997
base/g-color/blue/650,#0067A6,VariableID:10:1998
base/g-color/blue/700,#005991,VariableID:10:1999
base/g-color/blue/800,#023C61,VariableID:10:2000
base/g-color/blue/850,#002F4D,VariableID:10:2001
base/g-color/blue/900,#002237,VariableID:10:2002
base/g-color/blue/950,#00111B,VariableID:10:2003
base/g-color/dandelion/050,#FFF1D5,VariableID:7:1958
base/g-color/dandelion/100,#FFE3AB,VariableID:7:1959
base/g-color/dandelion/150,#FFD684,VariableID:7:1960
base/g-color/dandelion/200,#FFCA61,VariableID:7:1961
base/g-color/dandelion/300,#E0AC44,VariableID:7:1962
base/g-color/dandelion/400,#C7932B,VariableID:7:1963
base/g-color/dandelion/500,#AD7913,VariableID:7:1964
base/g-color/dandelion/550,#9E6C09,VariableID:7:1965
base/g-color/dandelion/600,#8C5E00,VariableID:7:1966
base/g-color/dandelion/650,#7D5300,VariableID:7:1967
base/g-color/dandelion/700,#6B4700,VariableID:7:1968
base/g-color/dandelion/800,#4A3100,VariableID:7:1969
base/g-color/dandelion/850,#372400,VariableID:7:1970
base/g-color/dandelion/900,#261900,VariableID:7:1971
base/g-color/dandelion/950,#130C00,VariableID:7:1972
base/g-color/gray/030,#F7F7F8,VariableID:10:2004
base/g-color/gray/050,#F2F2F4,VariableID:10:2005
base/g-color/gray/050 • a00,#F2F2F400,VariableID:4070:4594
base/g-color/gray/070,#EDEDF0,VariableID:10:2022
base/g-color/gray/100,#E5E5E9,VariableID:10:2006
base/g-color/gray/150,#D8D8DF,VariableID:10:2007
base/g-color/gray/200,#CBCBD4,VariableID:10:2008
base/g-color/gray/300,#B1B1BE,VariableID:10:2009
base/g-color/gray/400,#9797A8,VariableID:10:2010
base/g-color/gray/500,#7E7E8D,VariableID:10:2011
base/g-color/gray/600,#646475,VariableID:10:2013
base/g-color/gray/700,#4B4B5C,VariableID:10:2015
base/g-color/gray/750,#3E3E4F,VariableID:10:2023
base/g-color/gray/800,#313142,VariableID:10:2016
base/g-color/gray/850,#252531,VariableID:10:2017
base/g-color/gray/900,#191925,VariableID:10:2018
base/g-color/gray/920,#13131F,VariableID:10:2024
base/g-color/gray/950,#0C0C14,VariableID:10:2019
base/g-color/gray/950 • a00,#0C0C1400,VariableID:4070:4595
base/g-color/gray/970,#07070D,VariableID:10:2020
base/g-color/gray/black,#000000,VariableID:10:2025
base/g-color/gray/black • a00,#00000000,VariableID:4070:4596
base/g-color/gray/white,#FFFFFF,VariableID:10:2021
base/g-color/green/050,#E1FCEA,VariableID:9:1974
base/g-color/green/100,#C3F7D5,VariableID:9:1975
base/g-color/green/150,#A7F5C1,VariableID:9:1976
base/g-color/green/200,#91EBAF,VariableID:9:1977
base/g-color/green/300,#70D491,VariableID:9:1978
base/g-color/green/400,#4DBD72,VariableID:9:1979
base/g-color/green/500,#33A158,VariableID:9:1980
base/g-color/green/550,#26944B,VariableID:9:1981
base/g-color/green/600,#1A853E,VariableID:9:1982
base/g-color/green/650,#127533,VariableID:9:1983
base/g-color/green/700,#0B692A,VariableID:9:1984
base/g-color/green/800,#004718,VariableID:9:1985
base/g-color/green/850,#003311,VariableID:9:1986
base/g-color/green/900,#00290E,VariableID:9:1987
base/g-color/green/950,#001507,VariableID:9:1988
base/g-color/indigo/030,#F6F6FF,VariableID:1:2324
base/g-color/indigo/030 • a00,#F6F6FF00,VariableID:4071:4597
base/g-color/indigo/050,#F0F0FF,VariableID:1:2325
base/g-color/indigo/100,#E2E2FF,VariableID:1:2326
base/g-color/indigo/150,#D4D4FF,VariableID:1:2327
base/g-color/indigo/200,#C6C6FF,VariableID:7:1944
base/g-color/indigo/300,#A8A8FF,VariableID:7:1945
base/g-color/indigo/400,#8C8CFF,VariableID:7:1946
base/g-color/indigo/500,#7070FF,VariableID:7:1947
base/g-color/indigo/550,#6060FC,VariableID:7:1948
base/g-color/indigo/600,#5353FD,VariableID:7:1949
base/g-color/indigo/650,#4A4AF4,VariableID:7:1950
base/g-color/indigo/700,#4242CF,VariableID:7:1951
base/g-color/indigo/800,#3131A3,VariableID:7:1952
base/g-color/indigo/850,#20208A,VariableID:7:1953
base/g-color/indigo/900,#151579,VariableID:7:1954
base/g-color/indigo/950,#000061,VariableID:7:1955
base/g-color/indigo/970,#000049,VariableID:7:1956
base/g-color/indigo/970 • a00,#00004900,VariableID:4071:4598
base/g-color/opacity/00,0,VariableID:57:1996
base/g-color/opacity/000,#00000000,VariableID:15:1962
base/g-color/opacity/10,10,VariableID:57:1997
base/g-color/opacity/100,100,VariableID:57:2006
base/g-color/opacity/20,20,VariableID:57:1998
base/g-color/opacity/30,30,VariableID:57:1999
base/g-color/opacity/40,40,VariableID:57:2000
base/g-color/opacity/50,50,VariableID:57:2001
base/g-color/opacity/60,60,VariableID:57:2002
base/g-color/opacity/70,70,VariableID:57:2003
base/g-color/opacity/80,80,VariableID:57:2004
base/g-color/opacity/90,90,VariableID:57:2005
base/g-color/red/050,#FFECF0,VariableID:8:1944
base/g-color/red/100,#FFD9E0,VariableID:8:1945
base/g-color/red/150,#FFC7D2,VariableID:8:1946
base/g-color/red/200,#FFB4C3,VariableID:8:1947
base/g-color/red/300,#FC8CA2,VariableID:8:1948
base/g-color/red/400,#E86D86,VariableID:8:1949
base/g-color/red/500,#E54061,VariableID:8:1950
base/g-color/red/550,#D63354,VariableID:8:1951
base/g-color/red/600,#C42646,VariableID:8:1952
base/g-color/red/650,#B51938,VariableID:8:1953
base/g-color/red/700,#A10F2C,VariableID:8:1954
base/g-color/red/800,#750018,VariableID:8:1955
base/g-color/red/850,#5C0012,VariableID:8:1956
base/g-color/red/900,#45000E,VariableID:8:1957
base/g-color/red/950,#280008,VariableID:8:1958
base/g-color/yellow/050,#FFF0DA,VariableID:8:1959
base/g-color/yellow/100,#FFE1B6,VariableID:8:1960
base/g-color/yellow/150,#FFD394,VariableID:8:1961
base/g-color/yellow/200,#FFC370,VariableID:8:1962
base/g-color/yellow/300,#FAA225,VariableID:8:1963
base/g-color/yellow/400,#E38500,VariableID:8:1964
base/g-color/yellow/500,#BF6F00,VariableID:8:1965
base/g-color/yellow/550,#AD6500,VariableID:8:1966
base/g-color/yellow/600,#995900,VariableID:8:1967
base/g-color/yellow/650,#874F00,VariableID:8:1968
base/g-color/yellow/700,#734400,VariableID:8:1969
base/g-color/yellow/800,#4F2E00,VariableID:8:1970
base/g-color/yellow/850,#3B2200,VariableID:8:1971
base/g-color/yellow/900,#281800,VariableID:8:1972
base/g-color/yellow/950,#140C00,VariableID:8:1973
base/size/000,0,VariableID:1:2328
base/size/013,1,VariableID:57:2007
base/size/025,2,VariableID:1:2329
base/size/038,3,VariableID:4651:7466
base/size/050,4,VariableID:1:2330
base/size/075,6,VariableID:1:2331
base/size/100,8,VariableID:1:2332
base/size/1200,96,VariableID:4081:730
base/size/125,10,VariableID:16:1944
base/size/12800,1024,VariableID:14:1959
base/size/150,12,VariableID:14:1944
base/size/1575,126,VariableID:4117:4594
base/size/16000,1280,VariableID:14:1960
base/size/175,14,VariableID:14:1945
base/size/18000,1440,VariableID:14:1961
base/size/200,16,VariableID:14:1946
base/size/225,18,VariableID:14:1947
base/size/250,20,VariableID:14:1948
base/size/2500,200,VariableID:4161:786
base/size/300,24,VariableID:14:1949
base/size/350,28,VariableID:14:1950
base/size/400,32,VariableID:14:1951
base/size/4000,320,VariableID:14:1956
base/size/4275,342,VariableID:4232:862
base/size/450,36,VariableID:16:1945
base/size/4500,360,VariableID:14:1957
base/size/4875,390,VariableID:17:1947
base/size/500,40,VariableID:14:1952
base/size/550,44,VariableID:4304:940
base/size/600,48,VariableID:14:1953
base/size/700,56,VariableID:14:1954
base/size/750,60,VariableID:4307:966
base/size/800,64,VariableID:14:1955
base/size/8000,640,VariableID:4232:863
base/size/900,72,VariableID:4253:912
base/size/9300,744,VariableID:14:1958
